,yhat
2025-09-10 01:57:50,2542.937528865315
2025-09-10 01:58:00,2271.719483289792
2025-09-10 01:58:10,2023.6330407484284
2025-09-10 01:58:20,3024.653162051692
2025-09-10 01:58:30,3489.598383038303
2025-09-10 01:58:40,2586.8875746302188
2025-09-10 01:58:50,2637.198811229516
2025-09-10 01:59:00,2786.9759408757004
2025-09-10 01:59:10,2845.383238536954
2025-09-10 01:59:20,2549.877009775563
2025-09-10 01:59:30,2540.046078486045
2025-09-10 01:59:40,2269.98461306223
